/player/christian-covington?position=IDL, Christian Covington, DT, Rice,2015
/player/christian-tupou?position=IDL, Christian Tupou, DT, USC,2012
/player/chunky-clements?position=IDL, Chunky Clements, DT, Illinois,2017
/player/clenton-ballard?position=IDL, Clenton Ballard, DT, Texas State,2002
/player/cletidus-hunt?position=IDL, Cletidus Hunt, DT, Kentucky State,1999
/player/clifton-ryan?position=IDL, Clifton Ryan, DT, Michigan State,2007
/player/colby-whitlock?position=IDL, Colby Whitlock, DT, Texas Tech,2011
/player/colin-cole?position=IDL, Colin Cole, DT, Iowa,2003
/player/connor-wujciak?position=IDL, Connor Wujciak, DT, Boston College,2016
/player/corey-liuget?position=IDL, Corey Liuget, DT, Illinois,2011
/player/corey-peters?position=IDL, Corey Peters, DT, Kentucky,2010
/player/corey-williams?position=IDL, Corey Williams, DT, Arkansas State,2004
/player/corvey-irvin?position=IDL, Corvey Irvin, DT, Georgia,2009
/player/cory-grissom?position=IDL, Cory Grissom, DT, South Florida,2013
/player/craig-terrill?position=IDL, Craig Terrill, DT, Purdue,2004
/player/dj-cooper?position=IDL, D.J. Cooper, DT, Arkansas,2000
/player/dj-jones?position=IDL, D.J. Jones, DT, Ole Miss,2017
/player/dj-reader?position=IDL, D.J. Reader, DT, Clemson,2016
/player/dajohn-harris?position=IDL, DaJohn Harris, DT, USC,2012
/player/daquan-jones?position=IDL, DaQuan Jones, DT, Penn State,2014
/player/amobi-okoye?position=IDL, Amobi Okoye, DT, Louisville,2007
/player/andre-slappey?position=IDL, Andre Slappey, DT, Albany State,1999
/player/andrew-billings?position=IDL, Andrew Billings, DT, Baylor,2016
/player/angelo-blackson?position=IDL, Angelo Blackson, DT, Auburn,2015
/player/anthony-adams?position=IDL, Anthony Adams, DT, Penn State,2003
/player/anthony-bryant?position=IDL, Anthony Bryant, DT, Alabama,2005
/player/anthony-johnson?position=IDL, Anthony Johnson, DT, LSU,2014
/player/anthony-mcfarland?position=IDL, Anthony McFarland, DT, LSU,1999
/player/anthony-weaver?position=IDL, Anthony Weaver, DT, Notre Dame,2002
/player/anthony-zettel?position=IDL, Anthony Zettel, DT, Penn State,2016
/player/antonio-dingle?position=IDL, Antonio Dingle, DT, Virginia,1999
/player/antonio-johnson?position=IDL, Antonio Johnson, DT, Mississippi State,2007
/player/anttaj-hawthorne?position=IDL, Anttaj Hawthorne, DT, Wisconsin,2005
/player/antwaun-woods?position=IDL, Antwaun Woods, DT, USC,2016
/player/arik-armstead?position=IDL, Arik Armstead, DT, Oregon,2015
/player/atiyyah-ellison?position=IDL, Atiyyah Ellison, DT, Missouri,2005
/player/aubrayo-franklin?position=IDL, Aubrayo Franklin, DT, Tennessee,2003
/player/austin-johnson?position=IDL, Austin Johnson, DT, Penn State,2016
/player/bj-raji?position=IDL, B.J. Raji, DT, Boston College,2009
/player/babatunde-oshinowo?position=IDL, Babatunde Oshinowo, DT, Stanford,2006
/player/barry-cofield?position=IDL, Barry Cofield, DT, Northwestern,2006
/player/bennie-logan?position=IDL, Bennie Logan, DT, LSU,2013
/player/bobby-richardson?position=IDL, Bobby Richardson, DT, Indiana,2015
/player/brandon-mebane?position=IDL, Brandon Mebane, DT, California,2007
/player/brandon-moore?position=IDL, Brandon Moore, DT, Illinois,2002
/player/brandon-thompson?position=IDL, Brandon Thompson, DT, Clemson,2012
/player/brandon-williams-2013?position=IDL, Brandon Williams, DT, Missouri Southern,2013
/player/brent-urban?position=IDL, Brent Urban, DT, Virginia,2014
/player/brett-roy?position=IDL, Brett Roy, DT, Nevada,2012
/player/brian-price?position=IDL, Brian Price, DT, UCLA,2010
/player/brodrick-bunkley?position=IDL, Brodrick Bunkley, DT, Florida State,2006
/player/cj-mosley?position=IDL, C.J. Mosley, DT, Missouri,2005
/player/caleb-brantley?position=IDL, Caleb Brantley, DT, Florida,2017
/player/cam-thomas?position=IDL, Cam Thomas, DT, North Carolina,2010
/player/caraun-reid?position=IDL, Caraun Reid, DT, Princeton,2014
/player/carl-davis?position=IDL, Carl Davis, DT, Iowa,2015
/player/carlos-watkins?position=IDL, Carlos Watkins, DT, Clemson,2017
/player/carlton-powell?position=IDL, Carlton Powell, DT, Virginia Tech,2008
/player/casey-hampton?position=IDL, Casey Hampton, DT, Texas,2001
/player/cedric-hilliard?position=IDL, Cedric Hilliard, DT, Notre Dame,2004
/player/cedric-thornton?position=IDL, Cedric Thornton, DT, Southern Arkansas,2011
/player/cedric-woodard?position=IDL, Cedric Woodard, DT, Texas,2000
/player/chad-beasley?position=IDL, Chad Beasley, DT, Virginia Tech,2002
/player/chad-pegues?position=IDL, Chad Pegues, DT, Illinois State,1999
/player/charles-dorsey?position=IDL, Charles Dorsey, DT, Auburn,1999
/player/charles-hill?position=IDL, Charles Hill, DT, Maryland,2002
/player/chad-pugh?position=IDL, Chad Pugh, DT, TCU,2004
/player/charles-walker?position=IDL, Charles Walker, DT, Oklahoma,2017
/player/chas-alecxih?position=IDL, Chas Alecxih, DT, Pittsburgh,2012
/player/chris-baker-2009?position=IDL, Chris Baker, DT, Hampton,2009
/player/chris-combs?position=IDL, Chris Combs, DT, Duke,2000
/player/chris-hood?position=IDL, Chris Hood, DT, Alabama,1999
/player/chris-hovan?position=IDL, Chris Hovan, DT, Boston College,2000
/player/chris-jones-2016?position=IDL, Chris Jones, DT, Mississippi State,2016
/player/chris-jones-2013?position=IDL, Chris Jones, DT, Bowling Green,2013
/player/chris-mayes?position=IDL, Chris Mayes, DT, Georgia,2016
/player/chris-neild?position=IDL, Chris Neild, DT, West Virginia,2011
/player/chris-whaley?position=IDL, Chris Whaley, DT, Texas,2014
/player/chris-white?position=IDL, Chris White, DT, Southern,1999
/player/chris-wormley?position=IDL, Chris Wormley, DL, Michigan,2017
/player/ashawn-robinson?position=IDL, A'Shawn Robinson, DT, Alabama,2016
/player/aaron-donald?position=IDL, Aaron Donald, DT, Pittsburgh,2014
/player/abry-jones?position=IDL, Abry Jones, DT, Georgia,2013
/player/adam-gotsis?position=IDL, Adam Gotsis, DT, Georgia Tech,2016
/player/adolphus-washington?position=IDL, Adolphus Washington, DT, Ohio State,2016
/player/adrian-grady?position=IDL, Adrian Grady, DT, Louisville,2009
/player/adrian-taylor?position=IDL, Adrian Taylor, DT, Oklahoma,2011
/player/ahmad-childress?position=IDL, Ahmad Childress, DT, Alabama,2004
/player/ahtyba-rubin?position=IDL, Ahtyba Rubin, DT, Iowa State,2008
/player/akeem-spence?position=IDL, Akeem Spence, DT, Illinois,2013
/player/akiem-hicks?position=IDL, Akiem Hicks, DT, Regina,2012
/player/al-lucas?position=IDL, Al Lucas, DT, Troy,2000
/player/al-woods?position=IDL, Al Woods, DT, LSU,2010
/player/alameda-taamu?position=IDL, Alameda Ta'amu, DT, Washington,2012
/player/alan-branch?position=IDL, Alan Branch, DT, Michigan,2007
/player/alan-harper?position=IDL, Alan Harper, DT, Fresno State,2002
/player/albert-means?position=IDL, Albert Means, DT, Memphis,2005
/player/albrey-battle?position=IDL, Albrey Battle, DT, Arizona State,1999
/player/alex-magee?position=IDL, Alex Magee, DT, Purdue,2009
/player/alvin-mckinley?position=IDL, Alvin McKinley, DT, Mississippi State,2000
/player/daleroy-stewart?position=IDL, Daleroy Stewart, DT, Southern Miss,2001
/player/dalvin-tomlinson?position=IDL, Dalvin Tomlinson, DT, Alabama,2017
/player/damion-square?position=IDL, Damion Square, DT, Alabama,2013
/player/damione-lewis?position=IDL, Damione Lewis, DT, Miami,2001
/player/dan-falcon?position=IDL, Dan Falcon, DT, Western Michigan,1999
/player/dan-klecko?position=IDL, Dan Klecko, DT, Temple,2003
/player/dan-williams?position=IDL, Dan Williams, DT, Tennessee,2010
/player/daniel-mccullers?position=IDL, Daniel McCullers, DT, Tennessee,2014
/player/danny-shelton?position=IDL, Danny Shelton, DT, Washington,2015
/player/daren-yancey?position=IDL, Daren Yancey, DT, BYU,1999
/player/darius-latham?position=IDL, Darius Latham, DT, Indiana,2016
/player/darius-philon?position=IDL, Darius Philon, DT, Arkansas,2015
/player/darnell-dockett?position=IDL, Darnell Dockett, DT, Florida State,2004
/player/darrell-campbell?position=IDL, Darrell Campbell, DT, Notre Dame,2004
/player/darrell-shropshire?position=IDL, Darrell Shropshire, DT, South Carolina,2005
/player/darryl-richard?position=IDL, Darryl Richard, DT, Georgia Tech,2009
/player/david-parry?position=IDL, David Parry, DT, Stanford,2015
/player/david-patterson?position=IDL, David Patterson, DT, Ohio State,2007
/player/davon-godchaux?position=IDL, Davon Godchaux, DT, LSU,2017
/player/deangelo-tyson?position=IDL, DeAngelo Tyson, DT, Georgia,2012
/player/isaac-rochell?position=IDL, Isaac Rochell, DT, Notre Dame,2017
/player/isaac-sopoaga?position=IDL, Isaac Sopoaga, DT, Hawai'i,2004
/player/jr-sweezy?position=IDL, J.R. Sweezy, DT, NC State,2012
/player/jt-surratt?position=IDL, J.T. Surratt, DT, South Carolina,2015
/player/jabari-issa?position=IDL, Jabari Issa, DT, Washington,2000
/player/jace-sayler?position=IDL, Jace Sayler, DT, Michigan State,2001
/player/jake-sprague?position=IDL, Jake Sprague, DT, Wisconsin,2003
/player/jaleel-johnson?position=IDL, Jaleel Johnson, DT, Iowa,2017
/player/james-lee?position=IDL, James Lee, DT, Oregon State,2003
/player/james-mcclinton?position=IDL, James McClinton, DT, Kansas,2008
/player/jared-devries?position=IDL, Jared DeVries, DT, Iowa,1999
/player/jared-odrick?position=IDL, Jared Odrick, DT, Penn State,2010
/player/jarran-reed?position=IDL, Jarran Reed, DT, Alabama,2016
/player/jarret-johnson?position=IDL, Jarret Johnson, DT, Alabama,2003
/player/jarron-jones?position=IDL, Jarron Jones, DT, Notre Dame,2017
/player/jarvis-jenkins?position=IDL, Jarvis Jenkins, DT, Clemson,2011
/player/jason-bromley?position=IDL, Jason Bromley, DT, Syracuse,2014
/player/jason-jefferson?position=IDL, Jason Jefferson, DT, Wisconsin,2005
/player/jason-wiltz?position=IDL, Jason Wiltz, DT, Nebraska,1999
/player/javon-hargrave?position=IDL, Javon Hargrave, DT, South Carolina State,2016
/player/demario-pressley?position=IDL, DeMario Pressley, DT, NC State,2008
/player/devaunte-sigler?position=IDL, DeVaunte Sigler, DT, Jacksonville State,2016
/player/deandre-coleman?position=IDL, Deandre Coleman, DT, California,2014
/player/demonte-bolden?position=IDL, Demonte Bolden, DT, Tennessee,2009
/player/deon-simon?position=IDL, Deon Simon, DT, Northwestern State,2015
/player/derek-wolfe?position=IDL, Derek Wolfe, DT, Cincinnati,2012
/player/derreck-robinson?position=IDL, Derreck Robinson, DT, Iowa,2005
/player/derrick-lott?position=IDL, Derrick Lott, DT, Tennessee-Chattanooga,2015
/player/devon-still?position=IDL, Devon Still, DT, Penn State,2012
/player/dietrich-canterberry?position=IDL, Dietrich Canterberry, DT, UNLV,2004
/player/domata-peko?position=IDL, Domata Peko, DT, Michigan State,2006
/player/derrick-chambers?position=IDL, Derrick Chambers, DT, Florida,2001
/player/dominique-easley?position=IDL, Dominique Easley, DT, Florida,2014
/player/dominique-hamilton?position=IDL, Dominique Hamilton, DT, Missouri,2012
/player/donald-broomfield?position=IDL, Donald Broomfield, DT, Clemson,1999
/player/donnell-washington?position=IDL, Donnell Washington, DT, Clemson,2004
/player/dontari-poe?position=IDL, Dontari Poe, DT, Memphis,2012
/player/dorell-scott?position=IDL, Dorell Scott, DT, Clemson,2009
/player/dorsett-davis?position=IDL, Dorsett Davis, DT, Mississippi State,2002
/player/doug-worthington?position=IDL, Doug Worthington, DT, Ohio State,2010
/player/everett-dawkins?position=IDL, Everett Dawkins, DT, Florida State,2013
/player/fili-moala?position=IDL, Fili Moala, DT, USC,2009
/player/fletcher-cox?position=IDL, Fletcher Cox, DT, Mississippi State,2012
/player/frank-okam?position=IDL, Frank Okam, DT, Texas,2008
/player/fred-robbins?position=IDL, Fred Robbins, DT, Wake Forest,2000
/player/gabe-watson?position=IDL, Gabe Watson, DT, Michigan,2006
/player/gabe-wright?position=IDL, Gabe Wright, DT, Auburn,2015
/player/garrett-johnson?position=IDL, Garrett Johnson, DT, Illinois,1999
/player/gary-holmes?position=IDL, Gary Holmes, DT, Washington State,1999
/player/geno-atkins?position=IDL, Geno Atkins, DT, Georgia,2010
/player/gerald-mccoy?position=IDL, Gerald McCoy, DT, Oklahoma,2010
/player/grady-jarrett?position=IDL, Grady Jarrett, DT, Clemson,2015
/player/grover-stewart?position=IDL, Grover Stewart, DT, Albany State,2017
/player/haloti-ngata?position=IDL, Haloti Ngata, DT, Oregon,2006
/player/hassan-ridgeway?position=IDL, Hassan Ridgeway, DT, Texas,2016
/player/hebron-fangupo?position=IDL, Hebron Fangupo, DT, BYU,2012
/player/henry-anderson?position=IDL, Henry Anderson, DT, Stanford,2015
/player/ian-scott?position=IDL, Ian Scott, DT, Florida,2003
/player/ian-williams?position=IDL, Ian Williams, DT, Notre Dame,2011
/player/igor-olshansky?position=IDL, Igor Olshansky, DT, Oregon,2004
/player/drake-nevis?position=IDL, Drake Nevis, DT, LSU,2011
/player/dre-moore?position=IDL, Dre Moore, DT, Maryland,2008
/player/dusty-dvoracek?position=IDL, Dusty Dvoracek, DT, Oklahoma,2006
/player/dwan-edwards?position=IDL, Dwan Edwards, DT, Oregon State,2004
/player/dwight-johnson?position=IDL, Dwight Johnson, DT, Baylor,2000
/player/earl-mitchell?position=IDL, Earl Mitchell, DT, Arizona,2010
/player/ed-chester?position=IDL, Ed Chester, DT, Florida,1999
/player/eddie-freeman?position=IDL, Eddie Freeman, DT, UAB,2002
/player/eddie-goldman?position=IDL, Eddie Goldman, DT, Florida State,2015
/player/eddie-vanderdoes?position=IDL, Eddie Vanderdoes, DT, UCLA,2017
/player/ego-ferguson?position=IDL, Ego Ferguson, DT, LSU,2014
/player/elijah-qualls?position=IDL, Elijah Qualls, DT, Washington,2017
/player/ellis-mccarthy?position=IDL, Ellis McCarthy, DT, UCLA,2015
/player/emarlos-leroy?position=IDL, Emarlos Leroy, DT, Georgia,1999
/player/ennis-davis?position=IDL, Ennis Davis, DT, USC,2001
/player/eric-coleman?position=IDL, Eric Coleman, DT, Clemson,2005
/player/eric-downing?position=IDL, Eric Downing, DT, Syracuse,2001
/player/eric-manning?position=IDL, Eric Manning, DT, Oregon State,2003
/player/ernest-grant?position=IDL, Ernest Grant, DT, Arkansas-Pine Bluff,2000
/player/evander-hood?position=IDL, Evander Hood, DT, Missouri,2009
/player/jay-alford?position=IDL, Jay Alford, DT, Penn State,2007
/player/jay-ross?position=IDL, Jay Ross, DT, ECU,2010
/player/jaye-howard?position=IDL, Jaye Howard, DT, Florida,2012
/player/jeff-owens?position=IDL, Jeff Owens, DT, Georgia,2010
/player/jeff-womble?position=IDL, Jeff Womble, DT, Florida State,2004
/player/jerel-worthy?position=IDL, Jerel Worthy, DT, Michigan State,2012
/player/jeremy-clark?position=IDL, Jeremy Clark, DT, Alabama,2007
/player/jerrell-powe?position=IDL, Jerrell Powe, DT, Ole Miss,2011
/player/jerry-deloach?position=IDL, Jerry DeLoach, DT, California,2000
/player/jerry-johnson?position=IDL, Jerry Johnson, DT, Florida State,2000
/player/jesse-williams?position=IDL, Jesse Williams, DT, Alabama,2013
/player/joe-cohen?position=IDL, Joe Cohen, DT, Florida,2007
/player/joel-heath?position=IDL, Joel Heath, DT, Michigan State,2016
/player/joey-mbu?position=IDL, Joey Mbu, DT, Houston,2015
/player/john-graves?position=IDL, John Graves, DT, Virginia Tech,2011
/player/john-henderson?position=IDL, John Henderson, DT, Tennessee,2002
/player/john-hughes?position=IDL, John Hughes, DT, Cincinnati,2012
/player/john-jenkins?position=IDL, John Jenkins, DT, Georgia,2013
/player/john-mccargo?position=IDL, John McCargo, DT, NC State,2006
/player/john-schlecht?position=IDL, John Schlecht, DT, Minnesota,2001
/player/kheeston-randall?position=IDL, Kheeston Randall, DT, Texas,2012
