acronym,location + team,location,team
ARI,Arizona Cardinals,Arizona,Cardinals
ATL,Atlanta Falcons,Atlanta,Falcons
BAL,Baltimore Ravens,Baltimore,Ravens
BUF,Buffalo Bills,Buffalo,Bills
CAR,Carolina Panthers,Carolina,Panthers
CHI,Chicago Bears,Chicago,Bears
CIN,Cincinnati Bengals,Cincinnati,Bengals
CLE,Cleveland Browns,Cleveland,Browns
DAL,Dallas Cowboys,Dallas,Cowboys
DEN,Denver Broncos,Denver,Broncos
DET,Detroit Lions,Detroit,Lions
GB,Green Bay Packers,Green Bay,Packers
HOU,Houston Texans,Houston,Texans
IND,Indianapolis Colts,Indianapolis,Colts
JAX,Jacksonville Jaguars,Jacksonville,Jaguars
JAC,Jacksonville Jaguars,Jacksonville,Jaguars
KC,Kansas City Chiefs,Kansas City,Chiefs
MIA,Miami Dolphins,Miami,Dolphins
MIN,Minnesota Vikings,Minnesota,Vikings
NE,New England Patriots,New England,Patriots
NO,New Orleans Saints,New Orleans,Saints
NYG,New York Giants,New York,Giants
NYJ,New York Jets,New York,Jets
OAK,Oakland Raiders,Oakland,Raiders
PHI,Philadelphia Eagles,Philadelphia,Eagles
PIT,Pittsburgh Steelers,Pittsburgh,Steelers
SD,San Diego Chargers,San Diego,Chargers
LAC,Los Angeles Chargers,Los Angeles,Chargers
SEA,Seattle Seahawks,Seattle,Seahawks
SF,San Francisco 49ers,San Francisco,49ers
STL,Saint Louis Rams,Saint Louis,Rams
LAR,Los Angeles Rams,Los Angeles,Rams
TB,Tampa Bay Buccaneers,Tampa Bay,Buccaneers
TEN,Tennessee Titans,Tennessee,Titans
WAS,Washington Redskins,Washington,Redskins